WV2.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:sram.sw0,v(qout1),,,V,
,
Signal->v(qout1),
X-axis,Value,
 0.000E+00, 1.800E+00,
 1.000E-03, 1.800E+00,
 2.000E-03, 1.800E+00,
 3.000E-03, 1.800E+00,
 4.000E-03, 1.800E+00,
 5.000E-03, 1.800E+00,
 6.000E-03, 1.800E+00,
 7.000E-03, 1.800E+00,
 8.000E-03, 1.800E+00,
 9.000E-03, 1.800E+00,
 1.000E-02, 1.800E+00,
 1.100E-02, 1.800E+00,
 1.200E-02, 1.800E+00,
 1.300E-02, 1.800E+00,
 1.400E-02, 1.800E+00,
 1.500E-02, 1.800E+00,
 1.600E-02, 1.800E+00,
 1.700E-02, 1.800E+00,
 1.800E-02, 1.800E+00,
 1.900E-02, 1.800E+00,
 2.000E-02, 1.800E+00,
 2.100E-02, 1.800E+00,
 2.200E-02, 1.800E+00,
 2.300E-02, 1.800E+00,
 2.400E-02, 1.800E+00,
 2.500E-02, 1.800E+00,
 2.600E-02, 1.800E+00,
 2.700E-02, 1.800E+00,
 2.800E-02, 1.800E+00,
 2.900E-02, 1.800E+00,
 3.000E-02, 1.800E+00,
 3.100E-02, 1.800E+00,
 3.200E-02, 1.800E+00,
 3.300E-02, 1.800E+00,
 3.400E-02, 1.800E+00,
 3.500E-02, 1.800E+00,
 3.600E-02, 1.800E+00,
 3.700E-02, 1.800E+00,
 3.800E-02, 1.800E+00,
 3.900E-02, 1.800E+00,
 4.000E-02, 1.800E+00,
 4.100E-02, 1.800E+00,
 4.200E-02, 1.800E+00,
 4.300E-02, 1.800E+00,
 4.400E-02, 1.800E+00,
 4.500E-02, 1.800E+00,
 4.600E-02, 1.800E+00,
 4.700E-02, 1.800E+00,
 4.800E-02, 1.800E+00,
 4.900E-02, 1.800E+00,
 5.000E-02, 1.800E+00,
 5.100E-02, 1.800E+00,
 5.200E-02, 1.800E+00,
 5.300E-02, 1.800E+00,
 5.400E-02, 1.800E+00,
 5.500E-02, 1.800E+00,
 5.600E-02, 1.800E+00,
 5.700E-02, 1.800E+00,
 5.800E-02, 1.800E+00,
 5.900E-02, 1.800E+00,
 6.000E-02, 1.800E+00,
 6.100E-02, 1.800E+00,
 6.200E-02, 1.800E+00,
 6.300E-02, 1.800E+00,
 6.400E-02, 1.800E+00,
 6.500E-02, 1.800E+00,
 6.600E-02, 1.800E+00,
 6.700E-02, 1.800E+00,
 6.800E-02, 1.800E+00,
 6.900E-02, 1.800E+00,
 7.000E-02, 1.800E+00,
 7.100E-02, 1.800E+00,
 7.200E-02, 1.800E+00,
 7.300E-02, 1.800E+00,
 7.400E-02, 1.800E+00,
 7.500E-02, 1.800E+00,
 7.600E-02, 1.800E+00,
 7.700E-02, 1.800E+00,
 7.800E-02, 1.800E+00,
 7.900E-02, 1.800E+00,
 8.000E-02, 1.800E+00,
 8.100E-02, 1.800E+00,
 8.200E-02, 1.800E+00,
 8.300E-02, 1.800E+00,
 8.400E-02, 1.800E+00,
 8.500E-02, 1.800E+00,
 8.600E-02, 1.800E+00,
 8.700E-02, 1.800E+00,
 8.800E-02, 1.800E+00,
 8.900E-02, 1.800E+00,
 9.000E-02, 1.800E+00,
 9.100E-02, 1.800E+00,
 9.200E-02, 1.800E+00,
 9.300E-02, 1.800E+00,
 9.400E-02, 1.800E+00,
 9.500E-02, 1.800E+00,
 9.600E-02, 1.800E+00,
 9.700E-02, 1.800E+00,
 9.800E-02, 1.800E+00,
 9.900E-02, 1.800E+00,
 1.000E-01, 1.800E+00,
 1.010E-01, 1.800E+00,
 1.020E-01, 1.800E+00,
 1.030E-01, 1.800E+00,
 1.040E-01, 1.800E+00,
 1.050E-01, 1.800E+00,
 1.060E-01, 1.800E+00,
 1.070E-01, 1.800E+00,
 1.080E-01, 1.800E+00,
 1.090E-01, 1.800E+00,
 1.100E-01, 1.800E+00,
 1.110E-01, 1.800E+00,
 1.120E-01, 1.800E+00,
 1.130E-01, 1.800E+00,
 1.140E-01, 1.800E+00,
 1.150E-01, 1.800E+00,
 1.160E-01, 1.800E+00,
 1.170E-01, 1.800E+00,
 1.180E-01, 1.800E+00,
 1.190E-01, 1.800E+00,
 1.200E-01, 1.800E+00,
 1.210E-01, 1.800E+00,
 1.220E-01, 1.800E+00,
 1.230E-01, 1.800E+00,
 1.240E-01, 1.800E+00,
 1.250E-01, 1.800E+00,
 1.260E-01, 1.800E+00,
 1.270E-01, 1.800E+00,
 1.280E-01, 1.800E+00,
 1.290E-01, 1.800E+00,
 1.300E-01, 1.800E+00,
 1.310E-01, 1.800E+00,
 1.320E-01, 1.800E+00,
 1.330E-01, 1.800E+00,
 1.340E-01, 1.800E+00,
 1.350E-01, 1.800E+00,
 1.360E-01, 1.800E+00,
 1.370E-01, 1.800E+00,
 1.380E-01, 1.800E+00,
 1.390E-01, 1.800E+00,
 1.400E-01, 1.800E+00,
 1.410E-01, 1.800E+00,
 1.420E-01, 1.800E+00,
 1.430E-01, 1.800E+00,
 1.440E-01, 1.800E+00,
 1.450E-01, 1.800E+00,
 1.460E-01, 1.800E+00,
 1.470E-01, 1.800E+00,
 1.480E-01, 1.800E+00,
 1.490E-01, 1.800E+00,
 1.500E-01, 1.800E+00,
 1.510E-01, 1.800E+00,
 1.520E-01, 1.800E+00,
 1.530E-01, 1.800E+00,
 1.540E-01, 1.800E+00,
 1.550E-01, 1.800E+00,
 1.560E-01, 1.800E+00,
 1.570E-01, 1.800E+00,
 1.580E-01, 1.800E+00,
 1.590E-01, 1.800E+00,
 1.600E-01, 1.800E+00,
 1.610E-01, 1.800E+00,
 1.620E-01, 1.800E+00,
 1.630E-01, 1.800E+00,
 1.640E-01, 1.800E+00,
 1.650E-01, 1.800E+00,
 1.660E-01, 1.800E+00,
 1.670E-01, 1.800E+00,
 1.680E-01, 1.800E+00,
 1.690E-01, 1.800E+00,
 1.700E-01, 1.800E+00,
 1.710E-01, 1.800E+00,
 1.720E-01, 1.800E+00,
 1.730E-01, 1.800E+00,
 1.740E-01, 1.800E+00,
 1.750E-01, 1.800E+00,
 1.760E-01, 1.800E+00,
 1.770E-01, 1.800E+00,
 1.780E-01, 1.800E+00,
 1.790E-01, 1.800E+00,
 1.800E-01, 1.800E+00,
 1.810E-01, 1.800E+00,
 1.820E-01, 1.800E+00,
 1.830E-01, 1.800E+00,
 1.840E-01, 1.800E+00,
 1.850E-01, 1.800E+00,
 1.860E-01, 1.800E+00,
 1.870E-01, 1.800E+00,
 1.880E-01, 1.800E+00,
 1.890E-01, 1.800E+00,
 1.900E-01, 1.800E+00,
 1.910E-01, 1.800E+00,
 1.920E-01, 1.800E+00,
 1.930E-01, 1.800E+00,
 1.940E-01, 1.800E+00,
 1.950E-01, 1.800E+00,
 1.960E-01, 1.800E+00,
 1.970E-01, 1.800E+00,
 1.980E-01, 1.800E+00,
 1.990E-01, 1.800E+00,
 2.000E-01, 1.800E+00,
 2.010E-01, 1.800E+00,
 2.020E-01, 1.800E+00,
 2.030E-01, 1.800E+00,
 2.040E-01, 1.800E+00,
 2.050E-01, 1.800E+00,
 2.060E-01, 1.800E+00,
 2.070E-01, 1.800E+00,
 2.080E-01, 1.800E+00,
 2.090E-01, 1.800E+00,
 2.100E-01, 1.800E+00,
 2.110E-01, 1.800E+00,
 2.120E-01, 1.800E+00,
 2.130E-01, 1.800E+00,
 2.140E-01, 1.800E+00,
 2.150E-01, 1.800E+00,
 2.160E-01, 1.800E+00,
 2.170E-01, 1.800E+00,
 2.180E-01, 1.800E+00,
 2.190E-01, 1.800E+00,
 2.200E-01, 1.800E+00,
 2.210E-01, 1.800E+00,
 2.220E-01, 1.800E+00,
 2.230E-01, 1.800E+00,
 2.240E-01, 1.800E+00,
 2.250E-01, 1.800E+00,
 2.260E-01, 1.800E+00,
 2.270E-01, 1.800E+00,
 2.280E-01, 1.800E+00,
 2.290E-01, 1.800E+00,
 2.300E-01, 1.800E+00,
 2.310E-01, 1.800E+00,
 2.320E-01, 1.800E+00,
 2.330E-01, 1.800E+00,
 2.340E-01, 1.800E+00,
 2.350E-01, 1.800E+00,
 2.360E-01, 1.800E+00,
 2.370E-01, 1.800E+00,
 2.380E-01, 1.800E+00,
 2.390E-01, 1.800E+00,
 2.400E-01, 1.800E+00,
 2.410E-01, 1.800E+00,
 2.420E-01, 1.800E+00,
 2.430E-01, 1.800E+00,
 2.440E-01, 1.800E+00,
 2.450E-01, 1.800E+00,
 2.460E-01, 1.800E+00,
 2.470E-01, 1.800E+00,
 2.480E-01, 1.800E+00,
 2.490E-01, 1.800E+00,
 2.500E-01, 1.800E+00,
 2.510E-01, 1.800E+00,
 2.520E-01, 1.800E+00,
 2.530E-01, 1.800E+00,
 2.540E-01, 1.800E+00,
 2.550E-01, 1.800E+00,
 2.560E-01, 1.800E+00,
 2.570E-01, 1.800E+00,
 2.580E-01, 1.800E+00,
 2.590E-01, 1.800E+00,
 2.600E-01, 1.800E+00,
 2.610E-01, 1.800E+00,
 2.620E-01, 1.800E+00,
 2.630E-01, 1.800E+00,
 2.640E-01, 1.800E+00,
 2.650E-01, 1.800E+00,
 2.660E-01, 1.799E+00,
 2.670E-01, 1.799E+00,
 2.680E-01, 1.799E+00,
 2.690E-01, 1.799E+00,
 2.700E-01, 1.799E+00,
 2.710E-01, 1.799E+00,
 2.720E-01, 1.799E+00,
 2.730E-01, 1.799E+00,
 2.740E-01, 1.799E+00,
 2.750E-01, 1.799E+00,
 2.760E-01, 1.799E+00,
 2.770E-01, 1.799E+00,
 2.780E-01, 1.799E+00,
 2.790E-01, 1.799E+00,
 2.800E-01, 1.799E+00,
 2.810E-01, 1.799E+00,
 2.820E-01, 1.799E+00,
 2.830E-01, 1.799E+00,
 2.840E-01, 1.799E+00,
 2.850E-01, 1.799E+00,
 2.860E-01, 1.799E+00,
 2.870E-01, 1.799E+00,
 2.880E-01, 1.799E+00,
 2.890E-01, 1.799E+00,
 2.900E-01, 1.799E+00,
 2.910E-01, 1.799E+00,
 2.920E-01, 1.799E+00,
 2.930E-01, 1.799E+00,
 2.940E-01, 1.799E+00,
 2.950E-01, 1.799E+00,
 2.960E-01, 1.799E+00,
 2.970E-01, 1.799E+00,
 2.980E-01, 1.799E+00,
 2.990E-01, 1.799E+00,
 3.000E-01, 1.799E+00,
 3.010E-01, 1.799E+00,
 3.020E-01, 1.799E+00,
 3.030E-01, 1.799E+00,
 3.040E-01, 1.799E+00,
 3.050E-01, 1.799E+00,
 3.060E-01, 1.799E+00,
 3.070E-01, 1.799E+00,
 3.080E-01, 1.798E+00,
 3.090E-01, 1.798E+00,
 3.100E-01, 1.798E+00,
 3.110E-01, 1.798E+00,
 3.120E-01, 1.798E+00,
 3.130E-01, 1.798E+00,
 3.140E-01, 1.798E+00,
 3.150E-01, 1.798E+00,
 3.160E-01, 1.798E+00,
 3.170E-01, 1.798E+00,
 3.180E-01, 1.798E+00,
 3.190E-01, 1.798E+00,
 3.200E-01, 1.798E+00,
 3.210E-01, 1.798E+00,
 3.220E-01, 1.798E+00,
 3.230E-01, 1.798E+00,
 3.240E-01, 1.798E+00,
 3.250E-01, 1.798E+00,
 3.260E-01, 1.798E+00,
 3.270E-01, 1.798E+00,
 3.280E-01, 1.797E+00,
 3.290E-01, 1.797E+00,
 3.300E-01, 1.797E+00,
 3.310E-01, 1.797E+00,
 3.320E-01, 1.797E+00,
 3.330E-01, 1.797E+00,
 3.340E-01, 1.797E+00,
 3.350E-01, 1.797E+00,
 3.360E-01, 1.797E+00,
 3.370E-01, 1.797E+00,
 3.380E-01, 1.797E+00,
 3.390E-01, 1.797E+00,
 3.400E-01, 1.797E+00,
 3.410E-01, 1.797E+00,
 3.420E-01, 1.796E+00,
 3.430E-01, 1.796E+00,
 3.440E-01, 1.796E+00,
 3.450E-01, 1.796E+00,
 3.460E-01, 1.796E+00,
 3.470E-01, 1.796E+00,
 3.480E-01, 1.796E+00,
 3.490E-01, 1.796E+00,
 3.500E-01, 1.796E+00,
 3.510E-01, 1.796E+00,
 3.520E-01, 1.796E+00,
 3.530E-01, 1.795E+00,
 3.540E-01, 1.795E+00,
 3.550E-01, 1.795E+00,
 3.560E-01, 1.795E+00,
 3.570E-01, 1.795E+00,
 3.580E-01, 1.795E+00,
 3.590E-01, 1.795E+00,
 3.600E-01, 1.795E+00,
 3.610E-01, 1.795E+00,
 3.620E-01, 1.794E+00,
 3.630E-01, 1.794E+00,
 3.640E-01, 1.794E+00,
 3.650E-01, 1.794E+00,
 3.660E-01, 1.794E+00,
 3.670E-01, 1.794E+00,
 3.680E-01, 1.794E+00,
 3.690E-01, 1.793E+00,
 3.700E-01, 1.793E+00,
 3.710E-01, 1.793E+00,
 3.720E-01, 1.793E+00,
 3.730E-01, 1.793E+00,
 3.740E-01, 1.793E+00,
 3.750E-01, 1.793E+00,
 3.760E-01, 1.792E+00,
 3.770E-01, 1.792E+00,
 3.780E-01, 1.792E+00,
 3.790E-01, 1.792E+00,
 3.800E-01, 1.792E+00,
 3.810E-01, 1.791E+00,
 3.820E-01, 1.791E+00,
 3.830E-01, 1.791E+00,
 3.840E-01, 1.791E+00,
 3.850E-01, 1.791E+00,
 3.860E-01, 1.790E+00,
 3.870E-01, 1.790E+00,
 3.880E-01, 1.790E+00,
 3.890E-01, 1.790E+00,
 3.900E-01, 1.790E+00,
 3.910E-01, 1.789E+00,
 3.920E-01, 1.789E+00,
 3.930E-01, 1.789E+00,
 3.940E-01, 1.789E+00,
 3.950E-01, 1.788E+00,
 3.960E-01, 1.788E+00,
 3.970E-01, 1.788E+00,
 3.980E-01, 1.788E+00,
 3.990E-01, 1.787E+00,
 4.000E-01, 1.787E+00,
 4.010E-01, 1.787E+00,
 4.020E-01, 1.787E+00,
 4.030E-01, 1.786E+00,
 4.040E-01, 1.786E+00,
 4.050E-01, 1.786E+00,
 4.060E-01, 1.785E+00,
 4.070E-01, 1.785E+00,
 4.080E-01, 1.785E+00,
 4.090E-01, 1.784E+00,
 4.100E-01, 1.784E+00,
 4.110E-01, 1.784E+00,
 4.120E-01, 1.783E+00,
 4.130E-01, 1.783E+00,
 4.140E-01, 1.783E+00,
 4.150E-01, 1.782E+00,
 4.160E-01, 1.782E+00,
 4.170E-01, 1.782E+00,
 4.180E-01, 1.781E+00,
 4.190E-01, 1.781E+00,
 4.200E-01, 1.781E+00,
 4.210E-01, 1.780E+00,
 4.220E-01, 1.780E+00,
 4.230E-01, 1.779E+00,
 4.240E-01, 1.779E+00,
 4.250E-01, 1.779E+00,
 4.260E-01, 1.778E+00,
 4.270E-01, 1.778E+00,
 4.280E-01, 1.777E+00,
 4.290E-01, 1.777E+00,
 4.300E-01, 1.776E+00,
 4.310E-01, 1.776E+00,
 4.320E-01, 1.775E+00,
 4.330E-01, 1.775E+00,
 4.340E-01, 1.774E+00,
 4.350E-01, 1.774E+00,
 4.360E-01, 1.773E+00,
 4.370E-01, 1.773E+00,
 4.380E-01, 1.772E+00,
 4.390E-01, 1.772E+00,
 4.400E-01, 1.771E+00,
 4.410E-01, 1.771E+00,
 4.420E-01, 1.770E+00,
 4.430E-01, 1.769E+00,
 4.440E-01, 1.769E+00,
 4.450E-01, 1.768E+00,
 4.460E-01, 1.768E+00,
 4.470E-01, 1.767E+00,
 4.480E-01, 1.766E+00,
 4.490E-01, 1.766E+00,
 4.500E-01, 1.765E+00,
 4.510E-01, 1.764E+00,
 4.520E-01, 1.764E+00,
 4.530E-01, 1.763E+00,
 4.540E-01, 1.762E+00,
 4.550E-01, 1.762E+00,
 4.560E-01, 1.761E+00,
 4.570E-01, 1.760E+00,
 4.580E-01, 1.759E+00,
 4.590E-01, 1.759E+00,
 4.600E-01, 1.758E+00,
 4.610E-01, 1.757E+00,
 4.620E-01, 1.756E+00,
 4.630E-01, 1.756E+00,
 4.640E-01, 1.755E+00,
 4.650E-01, 1.754E+00,
 4.660E-01, 1.753E+00,
 4.670E-01, 1.752E+00,
 4.680E-01, 1.751E+00,
 4.690E-01, 1.750E+00,
 4.700E-01, 1.750E+00,
 4.710E-01, 1.749E+00,
 4.720E-01, 1.748E+00,
 4.730E-01, 1.747E+00,
 4.740E-01, 1.746E+00,
 4.750E-01, 1.745E+00,
 4.760E-01, 1.744E+00,
 4.770E-01, 1.743E+00,
 4.780E-01, 1.742E+00,
 4.790E-01, 1.741E+00,
 4.800E-01, 1.740E+00,
 4.810E-01, 1.739E+00,
 4.820E-01, 1.738E+00,
 4.830E-01, 1.737E+00,
 4.840E-01, 1.736E+00,
 4.850E-01, 1.735E+00,
 4.860E-01, 1.733E+00,
 4.870E-01, 1.732E+00,
 4.880E-01, 1.731E+00,
 4.890E-01, 1.730E+00,
 4.900E-01, 1.729E+00,
 4.910E-01, 1.728E+00,
 4.920E-01, 1.726E+00,
 4.930E-01, 1.725E+00,
 4.940E-01, 1.724E+00,
 4.950E-01, 1.723E+00,
 4.960E-01, 1.721E+00,
 4.970E-01, 1.720E+00,
 4.980E-01, 1.719E+00,
 4.990E-01, 1.717E+00,
 5.000E-01, 1.716E+00,
 5.010E-01, 1.715E+00,
 5.020E-01, 1.713E+00,
 5.030E-01, 1.712E+00,
 5.040E-01, 1.710E+00,
 5.050E-01, 1.709E+00,
 5.060E-01, 1.707E+00,
 5.070E-01, 1.706E+00,
 5.080E-01, 1.704E+00,
 5.090E-01, 1.703E+00,
 5.100E-01, 1.701E+00,
 5.110E-01, 1.700E+00,
